종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금
000880,한화,-64847,-8442756150,49849.0,6636372400.0,15194.0,1830705000.0,-118.0,-14349050.0,133700,5.69,28271866050
00088K,한화3우B,-2917,-119072200,-221.0,-6559550.0,3192.0,127723975.0,-25.0,-969650.0,40350,3.73,967768975
000890,보해양조,301329,498637790,-29.0,530950.0,-292502.0,-485666430.0,-8019.0,-12889294.0,1441,7.54,11735137798
000910,유니온,6724,19801910,51.0,150705.0,-6775.0,-19952615.0,0.0,0.0,2935,0.17,48417611
000950,전방,10,577350,111.0,3839000.0,-121.0,-4416350.0,,,33800,5.13,61358350
000970,한국주철관,3719,24783160,-55.0,-365750.0,-3664.0,-24417410.0,0.0,0.0,6650,-0.3,68335945
000990,DB하이텍,-8860,-787267800,-36580.0,-3243215550.0,45702.0,4053624450.0,320.0,28497800.0,88100,-1.23,20402654500
001020,페이퍼코리아,1850,4580595,-289.0,-701005.0,-1566.0,-3891815.0,,,2480,-7.29,106773690
001040,CJ,11084,1415119850,-253.0,-26802400.0,-11540.0,-1480206250.0,1014.0,131115300.0,128500,-1.38,13806094650
001045,CJ우,1306,88542650,-2010.0,-136338350.0,699.0,47456700.0,5.0,339000.0,68100,0.15,235870950
00104K,CJ4우(전환),325,40561800,-88.0,-10524200.0,-237.0,-30037600.0,0.0,0.0,126900,-0.47,527261000
001060,JW중외제약,-11716,-314704050,304.0,8492625.0,11513.0,308966875.0,-100.0,-2727400.0,27150,-2.16,2207897825
001065,JW중외제약우,0,0,,,,,,,22650,0.0,1413450
001067,JW중외제약2우B,0,0,,,,,,,48750,-0.1,48750
001070,대한방직,670,3969800,-327.0,-1926990.0,-343.0,-2042810.0,,,5970,-1.0,9130900
001080,만호제강,193,157255,5678.0,23131120.0,-1684.0,-6520525.0,-4187.0,-16767850.0,3990,0.25,120736040
001120,LX인터내셔널,-35819,-1421957725,66088.0,2653530700.0,-29448.0,-1198990425.0,-494.0,-19433600.0,40450,2.41,5061070875
001130,대한제분,-3725,-44300680,6927.0,82175310.0,-3059.0,-36202660.0,-143.0,-1671970.0,11780,0.0,279622560
001200,유진투자증권,-43062,-188770430,12651.0,54566325.0,30411.0,134204105.0,0.0,0.0,4320,0.47,1926648780
001210,금호전기,7970,115297060,-1.0,-352690.0,-6609.0,-94437740.0,-419.0,-6101160.0,12870,-3.23,68837276650
001230,동국홀딩스,-160111,-325119771,-5118.0,-10567241.0,183808.0,372901221.0,-18577.0,-37210109.0,2025,1.91,770450917
001250,GS글로벌,-62954,-166293624,-203.0,-534905.0,62257.0,164506529.0,,,2635,1.15,833454961
001260,남광토건,4774,37864080,-15.0,-124450.0,-5202.0,-41270340.0,,,7950,-1.0,364054265
001270,부국증권,534,28431700,719.0,38271200.0,-1460.0,-77713900.0,207.0,11011000.0,52300,-2.61,238075300
001275,부국증권우,0,0,,,0.0,0.0,0.0,0.0,30200,0.17,4784800
001340,PKC,16801,82935660,-290.0,-1455090.0,-17011.0,-83963070.0,500.0,2482500.0,5000,0.2,408897475
001360,삼성제약,46555,61614630,-3604.0,-4748490.0,-40906.0,-54145574.0,,,1330,-0.08,205240158
001380,SG글로벌,11983,15686756,-24.0,-31248.0,-11959.0,-15655508.0,,,1302,-0.91,28773086
001390,KG케미칼,-29163,-130976077,176.0,784375.0,35020.0,157378622.0,-163.0,-727695.0,4455,0.79,458654748
001420,태원물산,-2719,-8584017,5.0,112065.0,5533.0,16260042.0,-2813.0,-7770480.0,2880,-0.35,183287778
001430,세아베스틸지주,-2002,-84149800,-5218.0,-209008725.0,7234.0,293728575.0,-49.0,-1973150.0,40400,0.5,3421426000
001440,대한전선,175636,4780491250,-34384.0,-922035425.0,-148379.0,-4052483075.0,6086.0,165297275.0,26950,-2.18,29514404275
001450,현대해상,-74360,-3934046400,192135.0,10317236600.0,-119446.0,-6473619500.0,1876.0,101240800.0,53500,2.1,36902873150
001460,BYC,-471,-17785900,316.0,11974650.0,155.0,5811250.0,0.0,0.0,37550,-1.05,85253550
001465,BYC우,-940,-25418100,1000.0,27047250.0,-60.0,-1629150.0,,,27000,-0.18,69588550
001500,현대차증권,3124,24050840,-3277.0,-25705670.0,481.0,4262290.0,-358.0,-2843560.0,7820,-0.26,654740760
