종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
139130,iM금융지주,1653,29102295,62222.0,1129606345.0,-64134.0,-1163377490.0,59.0,1070850.0,18070,-0.82,3083263885,2861626782560
302440,SK바이오사이언스,-2440,-89663025,319.0,12908575.0,3451.0,124046850.0,-1330.0,-47292400.0,35650,1.42,1900046775,2796976114450
004800,효성,-4625,-758665200,5987.0,980985900.0,-1085.0,-177221700.0,-278.0,-45260200.0,163000,1.94,3079763850,2728686341000
011170,롯데케미칼,-8457,-543610850,68404.0,4377870600.0,-60405.0,-3863423350.0,460.0,29291400.0,63600,0.95,8565621400,2720516648400
003690,코리안리,544,7655270,-9649.0,-142942540.0,1083.0,16277950.0,7947.0,117889190.0,14960,0.81,1853799570,2643746623760
097950,CJ제일제당,3811,658672950,-6845.0,-1191592000.0,3723.0,654437450.0,-701.0,-123611700.0,174600,0.0,6848042250,2628460875600
383220,F&F,618,40519850,-5766.0,-393807050.0,3861.0,264619000.0,1272.0,87639700.0,68400,-1.3,3856998044,2620203930000
085620,미래에셋생명,-22721,-446727500,11447.0,223580795.0,10614.0,210136150.0,800.0,15789660.0,19350,0.26,1514443305,2615733000000
026960,동서,-234,-6401300,3875.0,99363400.0,-3641.0,-92962100.0,0.0,0.0,25400,-0.39,910992350,2532380000000
009420,한올바이오파마,30570,1443411625,-45710.0,-2150293525.0,12858.0,599075400.0,2212.0,104512000.0,46800,-1.78,8170592700,2444861858400
004990,롯데지주,-6802,-166129275,16958.0,413395275.0,-10158.0,-247314900.0,2.0,48900.0,24400,-0.81,1425939350,2431796134400
450080,에코프로머티,52432,1804980450,-8690.0,-299155200.0,-44174.0,-1520630125.0,-302.0,-10314400.0,34250,-1.86,7010722075,2425375047500
005440,현대지에프홀딩스,-40385,-539376370,-44855.0,-594275325.0,-76968.0,-1001658795.0,162208.0,2135310240.0,13180,4.27,6360611790,2417175082820
004370,농심,-2193,-876990750,-4754.0,-1875115000.0,6955.0,2755295250.0,0.0,0.0,394500,0.77,9821796500,2399602269000
282330,BGF리테일,-2314,-323083300,2015.0,280126000.0,303.0,43515300.0,-3.0,-418500.0,138700,0.22,3377575500,2397277762200
489790,한화비전,83045,3890115975,-30937.0,-1444644450.0,-57310.0,-2688277425.0,5209.0,243133500.0,46750,-2.5,7875813550,2360332232500
014680,한솔케미칼,-454,-98316500,10802.0,2334011500.0,-10306.0,-2226705000.0,-46.0,-9855000.0,215500,0.23,5373086500,2326114758000
000240,한국앤컴퍼니,-1349,-33442925,16068.0,393807575.0,-14729.0,-360609650.0,0.0,0.0,24500,0.0,1354231633,2325913380000
001720,신영증권,-499,-70670100,-1099.0,-154433300.0,1710.0,240883500.0,-87.0,-12259000.0,140000,-0.71,871299600,2301600000000
483650,달바글로벌,-1674,-289191200,21841.0,4015196050.0,-20332.0,-3756135750.0,181.0,33279100.0,183100,1.55,27095048650,2293495036500
005850,에스엘,21583,1068597700,-4724.0,-233094675.0,-17467.0,-865554175.0,531.0,26238050.0,49250,-1.5,2529783425,2287589610000
018670,SK가스,862,210780250,-528.0,-128331250.0,-339.0,-83674000.0,5.0,1225000.0,244000,1.46,1403435000,2261695536000
204320,HL만도,61921,2934285225,-33649.0,-1589849450.0,-28297.0,-1345608625.0,221.0,10525650.0,47300,-1.87,12656584925,2221071776000
103140,풍산,9549,747365300,14535.0,1143994700.0,-24010.0,-1885535200.0,-60.0,-4705300.0,78000,-1.64,4675126000,2185893684000
279570,케이뱅크,154074,831030805,-102962.0,-554631070.0,-51355.0,-277713195.0,-117.0,-630800.0,5380,-0.19,2452356430,2182639912380
020150,롯데에너지머티리얼즈,49683,2082782650,469.0,46219975.0,-49544.0,-2103824050.0,-780.0,-32511950.0,41400,-2.13,11315268275,2167930168200
069960,현대백화점,-5675,-566254100,-4639.0,-463359350.0,-19419.0,-1936248800.0,29744.0,2966963950.0,99900,1.73,6035403700,2154334708800
009970,영원무역홀딩스,18,2423800,999.0,167901200.0,-1034.0,-173148000.0,17.0,2823000.0,165900,-0.18,1007397400,2149038240300
112610,씨에스윈드,-7236,-371052300,7926.0,408705900.0,1560.0,75167575.0,-1887.0,-94696675.0,50400,-1.95,12250867825,2125438711200
051600,한전KPS,17886,830527000,-5939.0,-271355075.0,-12482.0,-584160050.0,362.0,16958350.0,46150,-0.86,3580632375,2076750000000
081660,미스토홀딩스,-3930,-152703800,1700.0,66392300.0,-648.0,-24676550.0,2878.0,110988050.0,38500,1.45,3500504100,2044035840000
002790,아모레퍼시픽홀딩스,-33708,-895203600,11572.0,308792675.0,25471.0,674770075.0,-3028.0,-80245450.0,26600,2.5,2906929500,2033787588000
139480,이마트,16891,1234401500,2835.0,208787700.0,-25165.0,-1841834900.0,5261.0,385594500.0,73100,-1.22,5029673000,2017254368900
030000,제일기획,112912,1961294120,-2804.0,-47994555.0,-112177.0,-1949257265.0,2053.0,35681410.0,17430,0.75,4562019610,2005168551750
007070,GS리테일,-6047,-145444800,-48204.0,-1119773900.0,54251.0,1265226200.0,0.0,-7500.0,23300,-0.21,3193394275,1948052769500
073240,금호타이어,406105,2806914180,-81440.0,-561412030.0,-324998.0,-2247961960.0,12.0,82680.0,6780,-3.28,9018814290,1947624745860
457190,이수스페셜티케미컬,16073,1032961500,826.0,55002050.0,-17047.0,-1097382450.0,136.0,8651500.0,63900,-1.84,4200017750,1930985920800
000155,두산우,4588,2194216750,-1056.0,-502106000.0,-3576.0,-1713431250.0,-29.0,-13673000.0,475000,0.85,8032959750,1898319450000
229640,LS에코에너지,52138,3131559300,41077.0,2440623600.0,-93804.0,-5608409700.0,1617.0,96617700.0,59900,-0.99,14766591350,1834430252100
181710,NHN,29531,1660450600,-35592.0,-1986594850.0,5980.0,321710550.0,21.0,1083000.0,56300,-0.71,6488731300,1820120729500
462870,시프트업,17315,533155875,-536.0,-16492625.0,-16304.0,-502030750.0,-475.0,-14632500.0,30800,0.0,736559525,1809250212000
089860,롯데렌탈,25417,1255062075,-8856.0,-435929050.0,-14931.0,-737006825.0,-1630.0,-82126200.0,49200,0.61,3555959425,1786421889600
439260,대한조선,-2029,-93690825,-1871.0,-86401900.0,4020.0,185647575.0,-100.0,-4630000.0,46400,-0.96,1583556600,1767317072000
071970,HD현대마린엔진,41756,2132226900,10004.0,511596450.0,-52021.0,-2657126300.0,346.0,17659600.0,51100,-2.67,5485916950,1733388394500
475150,SK이터닉스,50170,2526434850,-69149.0,-3464104800.0,17031.0,839956300.0,1115.0,55994950.0,50200,-1.38,24041092400,1710163600800
120110,코오롱인더,30227,1730420100,1845.0,107199850.0,-34313.0,-1965302650.0,1947.0,110879500.0,57100,0.53,8151613150,1709918427200
023590,다우기술,-2322,-91334600,602.0,23695100.0,1456.0,57280750.0,264.0,10358750.0,39400,0.51,603561150,1705520092800
001120,LX인터내셔널,-9128,-388395450,28049.0,1186722875.0,-21245.0,-896079625.0,312.0,13428000.0,41650,0.24,4002939800,1614354000000
000120,CJ대한통운,6214,438042550,-5637.0,-397641350.0,-1539.0,-108365800.0,935.0,66054500.0,70700,0.28,1928640200,1612832720800
395400,SK리츠,-92161,-485005440,42514.0,222384830.0,48659.0,257500380.0,1094.0,5674800.0,5270,4.15,1281182660,1586362857400
020560,아시아나항공,-8962,-70166620,25563.0,199232940.0,-16597.0,-129034860.0,,,7700,-0.39,333308635,1586128474700
008770,호텔신라,60010,2418450825,305.0,12484000.0,-56544.0,-2279423325.0,-3849.0,-154653050.0,40100,-1.72,5026436750,1573849652100
001430,세아베스틸지주,5442,229736475,19522.0,860176425.0,-24828.0,-1083976900.0,-63.0,-2746650.0,43800,-2.77,5308790075,1570760812200
006040,동원산업,2105,74562000,-1772.0,-62820750.0,-479.0,-16921800.0,146.0,5180550.0,35500,-0.14,697024950,1566999074500
294870,IPARK현대산업개발,-15931,-377446450,-4376.0,-101091775.0,-1614.0,-37897450.0,21922.0,516459125.0,23500,-0.42,2942963775,1548822255000
012630,HDC,-3205,-83024125,4808.0,127528925.0,-1389.0,-38947100.0,-214.0,-5557700.0,25900,-2.45,1906712375,1547310573900
281820,케이씨텍,26091,1972784650,38434.0,2907209150.0,-56423.0,-4269658700.0,-7905.0,-595732500.0,77100,6.05,17560857800,1526476763100
001820,삼화콘덴서,76036,10994318200,-60446.0,-8770814150.0,-14562.0,-2069745750.0,-1888.0,-283132050.0,146000,0.97,178442921800,1517670000000
093370,후성,269951,3744447245,-166316.0,-2294651215.0,-119826.0,-1677780935.0,8222.0,115209750.0,13900,-5.31,46710976660,1490849087000
